%Szakasz_index	x_coord	mesh_density
572	0.2973875464477225	3059.677242952881
573	0.29771438440765136	3059.563010327842
574	0.29804123478430117	3059.444779250069
575	0.29836809801176833	3059.3224381490836
576	0.29869497453629823	3059.195873107127
577	0.29902186481654525	3059.064967821678
578	0.2993487693238376	3058.9296035733673
579	0.29967568854244575	3058.7896591894364
580	0.3000026229698557	3058.6450110068977
581	0.3003295731170461	3058.4955328364485
582	0.3006565395087705	3058.3410959281878
583	0.30098352268384343	3058.181568929796
584	0.3013105231954313	3058.016817853288
585	0.3016375416113485	3057.8467060342587
586	0.3019645785143572	3057.6710940955595
587	0.3022916345024731	3057.4898399050576
588	0.3026187101892751	3057.3027985399262
589	0.30294580620422074	3057.1098222450396
590	0.3032729231929663	3056.910760391182
591	0.303600061817692	3056.7054594362085
592	0.303927222757433	3056.4937628839775
593	0.3042544067084151	3056.2755112400323
594	0.30458161438439607	3056.0505419713168
595	0.3049088465170131	3055.8186894611126
596	0.30523610385613514	3055.5797849685623
597	0.30556338717022136	3055.3336565808604
598	0.3058906972466857	3055.080129171095
599	0.30621803489226684	3054.8190243513927
600	0.3065454009334051	3054.550160428643
601	0.30687279621662467	3054.273352356081
602	0.30720022160892296	3053.9884116864564
603	0.30752767799816605	3053.6951465247316
604	0.30785516629349086	3053.393361478783
605	0.3081826874257141	3053.08285761175
606	0.30851024234774826	3052.7634323882958
607	0.30883783203502446	3052.4348796277377
608	0.3091654574859223	3052.0969894511454
609	0.30949311972220794	3051.749548227601
610	0.30982081978947873	3051.392338523273
611	0.31014855875761604	3051.0251390455805
612	0.31047633772124605	3050.647724590224
613	0.3108041578002083	3050.259865982855
614	0.31113202014003283	3049.8613300262637
615	0.3114599259124252	3049.4518794391697
616	0.311787876315761	3049.0312728006033
617	0.31211587257558826	3048.5992644880275
618	0.31244391594513965	3048.155604619059
619	0.3127720077058537	3047.7000389895957
620	0.3131001491679054	3047.2323090094255
621	0.3134283416707465	3046.7521516425845
622	0.31375658658365635	3046.259299338066
623	0.3140848853063022	3045.753479966911
624	0.31441323926931053	3045.234416754395
625	0.314741649934849	3044.7018282125014
626	0.31507011879721925	3044.1554280691416
627	0.31539864738346135	3043.5949251982897
628	0.31572723725396984	3043.020023546459
629	0.3160558900031213	3042.4304220622626
630	0.3163846072599147	3041.8258146178114
631	0.31671339068862425	3041.2058899348626
632	0.3170422419894646	3040.5703315070496
633	0.3173711628992704	3039.918817517749
634	0.3177001551921884	3039.251020762905
635	0.3180292206803845	3038.5666085650128
636	0.31835836121476435	3037.8652426906765
637	0.31868757868570996	3037.14657926513
638	0.31901687502383025	3036.4102686822894
639	0.3193462522007283	3035.65595551605
640	0.31967571222978447	3034.8832784293404
641	0.3200052571669557	3034.0918700800003
642	0.3203348891115929	3033.281357025124
643	0.3206646102072749	3032.4513596219294
644	0.3209944226426614	3031.601491930873
645	0.32132432865236416	3030.7313616114307
646	0.32165433051783754	3029.840569817804
647	0.3219844305682889	3028.928711093149
648	0.32231463118160963	3027.995373258376
649	0.3226449347853272	3027.0401373022787
650	0.32297534385757853	3026.062577266006
651	0.3233058609281067	3025.0622601276173
652	0.32363648857927974	3024.038745678743
653	0.3239672294471341	3022.9915864052045
654	0.32429808622244244	3021.9203273600624
655	0.3246290616518069	3020.8245060328413
656	0.3249601585387784	3019.703652221193
657	0.3252913797450035	3018.557287892001
658	0.3256227281913987	3017.3849270448122
659	0.32595420685935417	3016.1860755686735
660	0.32628581879196683	3014.9602310966497
661	0.3266175670953049	3013.706882854719
662	0.3269494549397037	3012.4255115108294
663	0.32728148556109504	3011.1155890142845
664	0.32761366226237043	3009.776578436314
665	0.32794598841477907	3008.4079338030247
666	0.3282784674593636	3007.009099924056
667	0.32861110290843226	3005.57951221875
668	0.32894389834707083	3004.1185965356217
669	0.32927685743469504	3002.625768967483
670	0.32960998390664437	3001.1004356605667
671	0.32994328157581976	2999.5419926210125
672	0.330276754334366	2997.949825511109
673	0.3306104061554005	2996.3233094456823
674	0.33094424109479037	2994.661808777579
675	0.3312782632929797	2992.9646768801704
676	0.33161247697686846	2991.231255919878
677	0.33194688646174497	2989.4608766291644
678	0.3322814961532743	2987.6528580626077
679	0.3326163105495444	2985.8065073549965
680	0.3329513342431723	2983.9211194671157
