%Szakasz_index	VTX	mesh_density
61	0.11891429158290548	3356.505269008831
62	0.11921222050595326	3383.668130750531
63	0.11950775776355606	3410.1226148048904
64	0.11980100235120184	3435.896219570469
65	0.12009204723035276	3461.014794876815
66	0.12038097982939286	3485.5026780494236
67	0.12066788249232802	3509.3828158411798
68	0.12095283288174864	3532.6768739883564
69	0.12123590434162745	3555.4053358911315
70	0.12151716622473968	3577.5875917141684
71	0.12179668418883259	3599.2420190180965
72	0.12207452046511412	3620.3860558885476
73	0.12235073410215802	3641.0362673968643
74	0.12262538118792159	3661.208406124415
75	0.12289851505222912	3680.9174673846164
76	0.12317018645178118	3700.17773969988
77	0.12344044373949761	3719.0028510241136
78	0.12370933301978537	3737.405811140288
79	0.12397689829113462	3755.3990506136224
80	0.12424318157728409	3772.9944566352533
81	0.12450822304805577	3790.2034060579313
82	0.12477206113083562	3807.0367958841643
83	0.1250347326135702	3823.5050714452445
84	0.12529627274005473	3839.618252481616
85	0.12555671529820583	3855.385957311644
86	0.12581609270193983	3870.817425257064
87	0.12607443606721327	3885.921537477773
88	0.12633177528272638	3900.7068363519484
89	0.12658813907573965	3915.1815435200688
90	0.12684355507341033	3929.3535767105923
91	0.1270980498600152	3943.230565437483
92	0.12735164903039214	3956.819865670055
93	0.12760437723990103	3970.1285735489537
94	0.12785625825117672	3983.1635382254585
95	0.1281073149779225	3995.931373895277
96	0.12835756952596925	4008.438471078067
97	0.12860704323180638	4020.6910072122178
98	0.1288557566987717	4032.69495660617
99	0.12910372983107168	4044.4560997933518
100	0.1293509818657893	4055.980032340815
101	0.12959753140302233	4067.2721731430706
102	0.1298433964342841	4078.337772239549
103	0.13008859436928763	4089.181918190524
104	0.13033314206122365	4099.809545038473
105	0.13057705583063525	4110.2254388868705
106	0.13082035148798266	4120.434244116621
107	0.13106304435498517	4130.4404692697535
108	0.13130514928482012	4140.248492617108
109	0.13154668068125278	4149.862567433568
110	0.1317876525167655	4159.286826999749
111	0.1320280783497493	4168.525289341736
112	0.13226797134081664	4177.581861734513
113	0.13250734426828928	4186.460344976301
114	0.13274620954291202	4195.164437447338
115	0.13298457922183896	4203.697738973705
116	0.13322246502193555	4212.06375449875
117	0.1334598783324373	4220.265897579703
118	0.1336968302270024	4228.307493716514
119	0.13393333147519357	4236.191783521309
120	0.1341693925534219	4243.921925745424
121	0.13440502365538293	4251.501000160589
122	0.1346402347020138	4258.9320103103055
123	0.1348750353509979	4266.217886136635
124	0.13510943500584197	4273.361486489385
125	0.135343442824549	4280.365601522871
126	0.1355770677279087	4287.232954986954
127	0.13581031840742608	4293.966206419
128	0.13604320333290712	4300.567953241175
129	0.13627573075971974	4307.040732765592
130	0.1365079087357469	4313.387024119186
131	0.13673974510804743	4319.609250083262
132	0.13697124752923998	4325.70977885745
133	0.13720242346362366	4331.690925753069
134	0.13743328019304882	4337.554954814463
135	0.1376638248225503	4343.304080377449
136	0.1378940642857548	4348.9404685617565
137	0.13812400535007355	4354.466238706373
138	0.1383536546216906	4359.883464748548
139	0.13858301855035646	4365.194176548729
140	0.1388121034339963	4370.4003611605
141	0.13904091542314195	4375.503964057286
142	0.13926946052519523	4380.506890308972
143	0.13949774460853095	4385.411005713102
144	0.13972577340644687	4390.2181378883815
145	0.13995355252096736	4394.930077321032
146	0.14018108742650778	4399.548578376646
147	0.14040838347340562	4404.075360274613
148	0.1406354458913243	4408.512108028265
149	0.1408622797925353	4412.8604733456
150	0.14108889017508425	4417.122075505569
151	0.14131528192584553	4421.298502197208
152	0.14154145982347063	4425.391310333305
153	0.14176742854123464	4429.402026832731
154	0.14199319264978522	4433.332149377625
155	0.14221875661979824	4437.183147142592
156	0.14244412482454408	4440.956461503064
157	0.14266930154236795	4444.653506713725
158	0.1428942909590884	4448.275670570458
159	0.1431190971703167	4451.824315043739
160	0.14334372418370103	4455.300776899407
161	0.14356817592109775	4458.706368288352
162	0.1437924562206735	4462.0423773285
163	0.14401656883894018	4465.310068658047
164	0.14424051745272604	4468.510683979167
165	0.14446430566108487	4471.64544257625
166	0.14468793698714633	4474.715541825391
167	0.1449114148799091	4477.72215768539
168	0.14513474271597943	4480.666445167774
169	0.14535792380125714	4483.549538802876
170	0.145580961372571	4486.37255308296
171	0.1458038585992654	4489.136582894586
172	0.1460266185847402	4491.842703941344
173	0.1462492443679455	4494.491973145842
174	0.14647173892483312	4497.08542905068
175	0.14669410516976591	4499.624092196714
176	0.14691634595688727	4502.108965496776
177	0.1471384640814515	4504.5410345995415
178	0.1473604622811169	4506.921268235382
179	0.14758234323720282	4509.250618562037
180	0.14780410957591186	4511.530021493012
181	0.14802576386951868	4513.760397018739
182	0.14824730863752641	4515.942649523204
183	0.14846874634779175	4518.077668083003
184	0.14869007941762016	4520.166326767433
185	0.1489113102148318	4522.209484923773
186	0.14913244105879953	4524.2079874568435
187	0.1493534742214597	4526.162665104589
188	0.14957441192829682	4528.07433469841
189	0.14979525635930296	4529.943799425368
190	0.15001600964991263	4531.771849077059
191	0.15023667389191406	4533.5592602955185
192	0.15045725113433767	4535.306796811756
193	0.15067774338432238	4537.015209675982
194	0.15089815260796072	4538.68523748712
195	0.15111848073112302	4540.317606611554
196	0.15133872964026185	4541.913031399342
197	0.1515589011831969	4543.4722143935605
198	0.15177899716988127	4544.995846534186
199	0.15199901937314964	4546.484607359667
200	0.1522189695294487	4547.9391652007325
201	0.15243884933955074	4549.360177369607
202	0.15265866046925078	4550.748290348973
203	0.1528784045500475	4552.104139969514
204	0.15309808317980897	4553.428351589593
205	0.15331769792342317	4554.721540267072
206	0.15353725031343413	4555.984310929368
207	0.15375674185066376	4557.217258537529
208	0.15397617400482025	4558.420968248721
209	0.15419554821509293	4559.596015574058
210	0.15441486589073444	4560.742966531029
211	0.15463412841163038	4561.862377798975
212	0.15485333712885663	4562.9547968624665
213	0.15507249336522513	4564.020762157997
214	0.1552915984158181	4565.060803214596
215	0.15551065354851115	4566.075440794583
216	0.15572966000448552	4567.065187026789
217	0.15594861899872992	4568.030545539632
218	0.1561675317205322	4568.972011593347
219	0.1563863993339609	4569.890072205454
220	0.1566052229783374	4570.785206276854
221	0.15682400376869848	4571.657884714416
222	0.15704274279624986	4572.508570549324
223	0.15726144112881085	4573.337719058078
224	0.15748009981125033	4574.145777874989
225	0.1576987198659143	4574.933187107701
226	0.15791730229304526	4575.700379446342
227	0.15813584807119366	4576.447780274347
228	0.15835435815762144	4577.175807776235
229	0.1585728334886981	4577.884873039903
230	0.1587912749802894	4578.575380163258
231	0.15900968352813868	4579.247726352315
232	0.15922806000824158	4579.902302024642
233	0.15944640527721335	4580.539490904701
234	0.15966472017264993	4581.159670119746
235	0.1598830055134824	4581.763210297372
236	0.16010126210032488	4582.3504756547645
237	0.1603194907158166	4582.92182409413
238	0.16053769212495753	4583.47760728854
239	0.16075586707543832	4584.018170775012
240	0.1609740162979644	4584.543854036717
241	0.1611921405065745	4585.054990592916
242	0.16141024039895346	4585.551908081398
243	0.16162831665673993	4586.034928340987
244	0.16184636994582854	4586.504367495187
245	0.16206440091666705	4586.960536029976
246	0.16228241020454845	4587.4037388767465
247	0.16250039842989808	4587.834275486952
248	0.16271836619855595	4588.252439912423
249	0.16293631410205428	4588.6585208778815
250	0.1631542427178905	4589.052801858465
251	0.16337215260979565	4589.435561151718
252	0.16359004432799837	4589.807071951603
253	0.1638079184094845	4590.167602420406
254	0.16402577537825241	4590.517415756763
255	0.1642436157455643	4590.856770268523
256	0.1644614400101931	4591.185919441093
257	0.16467924865866573	4591.505112003544
258	0.16489704216550202	4591.814591997742
259	0.16511482099345007	4592.114598842266
260	0.1653325855937177	4592.405367401042
261	0.16555033640620007	4592.687128043803
262	0.16576807385970388	4592.96010671355
263	0.1659857983721677	4593.224524986962
264	0.16620351035087896	4593.480600135911
265	0.16642121019268746	4593.728545193
266	0.1666388982842153	4593.9685690064625
267	0.1668565750020637	4594.200876304894
268	0.1670742407130163	4594.425667753654
269	0.16729189577423942	4594.643140013445
270	0.167509540533479	4594.853485799892
271	0.1677271753292544	4595.056893939422
272	0.16794480049104923	4595.25354942551
273	0.168162416339499	4595.443633475303
274	0.16838002318657586	4595.627323583643
275	0.16859762133577047	4595.804793579201
276	0.16881521108227082	4595.976213678571
277	0.16903279271313823	4596.141750536573
278	0.16925036650748068	4596.301567303296
279	0.1694679327366232	4596.455823674384
280	0.16968549166427555	4596.60467594101
281	0.16990304354669739	4596.748277045377
282	0.1701205886328605	4596.886776626498
283	0.1703381271646087	4597.020321072666
284	0.17055565937681494	4597.149053572966
285	0.17077318549753595	4597.273114161391
286	0.17099070574816444	4597.392639769947
287	0.1712082203435787	4597.507764273163
288	0.17142572949228985	4597.6186185392435
289	0.17164323339658666	4597.725330473767
290	0.17186073225267795	4597.828025068254
291	0.1720782262508327	4597.926824444783
