%Szakasz_index	VTX	mesh_density
60	0.12434064631975343	2102.6596778457797
61	0.1248162344572615	2124.248286044879
62	0.12528698922099107	2145.2174248186966
63	0.12575314243624594	2165.595255622115
64	0.1262149092402708	2185.407939686348
65	0.1266724897138475	2204.6798325020463
66	0.1271260703132877	2223.433654602402
67	0.12757582513189003	2241.690642089353
68	0.1280219170150537	2259.4706797665167
69	0.12846449854928424	2276.792419277605
70	0.12890371294209976	2293.673384264197
71	0.129339694807199	2310.130064249513
72	0.1297725708670692	2326.177998689477
73	0.13020246058340362	2341.8318524248966
74	0.13062947672419295	2357.105483585764
75	0.13105372587509592	2372.0120048512767
76	0.13147530890163828	2386.563838844723
77	0.13189432136789775	2400.7727683357557
78	0.13231085391657924	2414.6499818325005
79	0.13272499261474413	2428.2061150725426
80	0.13313681926891188	2441.451288852914
81	0.13354641171278564	2454.3951435897357
82	0.13395384407045297	2467.046870943028
83	0.1343591869975688	2479.4152428103225
84	0.1347625079027297	2491.508637946594
85	0.13516387115099207	2503.3350664497398
86	0.13556333825126252	2514.9021923127407
87	0.1359609680290951	2526.217354227057
88	0.13635681678626033	2537.287584803259
89	0.13675093844830186	2548.119628347912
90	0.13714338470116808	2558.7199573337143
91	0.13753420511789005	2569.0947876727682
92	0.13792344727617797	2579.2500929013468
93	0.13831115686771864	2589.191617367735
94	0.1386973777998784	2598.9248885084676
95	0.13908215229044626	2608.4552282876793
96	0.1394655209559903	2617.7877638698837
97	0.13984752289434518	2626.927437585563
98	0.14022819576170048	2635.879016249814
99	0.1406075758447146	2644.647099879882
100	0.14098569812804132	2653.236129863236
101	0.14136259635762013	2661.6503966130686
102	0.1417383031000505	2669.8940467547354
103	0.14211284979834196	2677.971089873949
104	0.1424862668243066	2685.8854048607777
105	0.14285858352783767	2693.6407458783283
106	0.14322982828329742	2701.240747983844
107	0.14360002853321827	2708.688932423251
108	0.14396921082950556	2715.988711627659
109	0.14433740087231348	2723.143393925583
110	0.14470462354675312	2730.1561879961073
111	0.14507090295757832	2737.0302070767875
112	0.14543626246198366	2743.7684729427087
113	0.14580072470063876	2750.3739196740385
114	0.1461643116270733	2756.849397223065
115	0.14652704453551846	2763.197674794385
116	0.14688894408730294	2769.421444051918
117	0.14725003033589387	2775.523322159426
118	0.14761032275066702	2781.505854669728
119	0.14796984023948379	2787.37151826754
120	0.1483286011701478	2793.1227233775144
121	0.14868662339080796	2798.7618166454686
122	0.14904392424937069	2804.2910832968487
123	0.1494005206119795	2809.7127493855633
124	0.1497564288806161	2815.028983933551
125	0.15011166500987352	2820.241900971692
126	0.15046624452294843	2825.353561484279
127	0.15082018252689675	2830.3659752662575
128	0.15117349372719335	2835.281102693909
129	0.1515261924416347	2840.100856416637
130	0.15187829261362004	2844.8271029740686
131	0.15222980782484485	2849.4616643396903
132	0.15258075130743834	2854.0063193986043
133	0.1529311359555742	2858.4628053611887
134	0.1532809743365825	2862.832819114786
135	0.15363027870158877	2867.1180185188214
136	0.15397906099570466	2871.320023646063
137	0.15432733286779302	2875.440417969976
138	0.15467510567982923	2879.480749505099
139	0.15502239051587888	2883.4425318990334
140	0.15536919819071102	2887.3272454810967
141	0.15571553925806494	2891.1363382688223
142	0.15606142401858744	2894.871226932048
143	0.15640686252745672	2898.5332977231137
144	0.1567518646017077	2902.1239073658185
145	0.15709643982727334	2905.6443839133344
146	0.15744059756575515	2909.096027571172
147	0.1577843469609358	2912.480111488826
148	0.15812769694504566	2915.797882522855
149	0.15847065624479478	2919.050561968764
150	0.15881323338718095	2922.2393462682553
151	0.15915543670508406	2925.3654076880243
152	0.15949727434265643	2928.429894975004
153	0.1598387542605182	2931.4339339874664
154	0.16017988424076637	2934.3786283027675
155	0.16052067189180594	2937.2650598046057
156	0.16086112465301045	2940.0942892477997
157	0.1612012497992199	2942.8673568042477
158	0.16154105444508268	2945.585282589571
159	0.1618805455492482	2948.249067171254
160	0.16221972991841666	2950.8596920594805
161	0.16255861421125203	2953.4181201807514
162	0.16289720494216378	2955.9252963361923
163	0.16323550848496288	2958.3821476443686
164	0.16357353107639727	2960.789583968041
165	0.16391127881957185	2963.1484983282544
166	0.1642487576872574	2965.4597673051335
167	0.16458597352509316	2967.7242514226127
168	0.16492293205468722	2969.9427955253877
169	0.16525963887661882	2972.1162291386318
170	0.1655960994733465	2974.24536682135
171	0.16593231921202553	2976.331008503534
172	0.16626830334723863	2978.3739398173943
173	0.16660405702364278	2980.3749324141427
174	0.16693958527853586	2982.3347442737927
175	0.16727489304434587	2984.254120005175
176	0.16760998515104564	2986.133791133898
177	0.16794486632849626	2987.9744763868703
178	0.1682795412087212	2989.776881962066
179	0.16861401432811457	2991.5417017961868
180	0.16894829012958495	2993.2696178194524
181	0.16928237296463824	2994.9613002063056
