%Szakasz_index	x_coord	mesh_density
898	0.18514026807218248	183809.3570616693
899	0.18514570849162598	183809.35704103886
900	0.18515114891107015	183809.3570157197
901	0.18515658933051515	183809.3569857118
902	0.18516202974996115	183809.3569491397
903	0.18516747016940827	183809.35690787886
904	0.18517291058885677	183809.35685724052
905	0.18517835100830687	183809.356800038
906	0.18518379142775881	183809.3567315825
907	0.18518923184721298	183809.35665281178
908	0.1851946722666696	183809.35656185038
909	0.18520011268612913	183809.3564577605
910	0.18520555310559197	183809.3563386667
911	0.1852109935250586	183809.3562017557
912	0.18521643394452955	183809.3560460898
913	0.1852218743640054	183809.35587073117
914	0.1852273147834868	183809.35567099118
915	0.1852327552029745	183809.35544686974
916	0.1852381956224692	183809.35519461593
917	0.18524363604197186	183809.35491235423
918	0.18524907646148334	183809.35459633367
919	0.18525451688100475	183809.3542428032
920	0.18525995730053715	183809.35385176292
921	0.18526539772008183	183809.3534157108
922	0.18527083813964007	183809.35293277135
923	0.18527627855921336	183809.35240013135
924	0.18528171897880324	183809.35181122654
925	0.18528715939841145	183809.35116230597
926	0.1852925998180398	183809.35044961865
927	0.18529804023769025	183809.34966847586
928	0.185303480657365	183809.34881043783
929	0.18530892107706626	183809.34787362913
930	0.1853143614967966	183809.34684961004
931	0.18531980191655856	183809.34573369176
932	0.185325242336355	183809.3445183724
933	0.18533068275618902	183809.34319802548
934	0.1853361231760638	183809.3417632735
935	0.1853415635959828	183809.34020755228
936	0.18534700401594978	183809.3385233598
937	0.18535244443596863	183809.3367022564
938	0.18535788485604354	183809.33473392687
939	0.18536332527617905	183809.33261086926
940	0.18536876569637978	183809.33032276834
941	0.18537420611665084	183809.32786024667
942	0.18537964653699757	183809.32521017583
943	0.18538508695742562	183809.32236505384
944	0.18539052737794098	183809.31931081458
945	0.18539596779855	183809.31603620507
946	0.18540140821925938	183809.31252903462
947	0.1854068486400762	183809.30877617488
948	0.18541228906100796	183809.30476262188
949	0.18541772948206253	183809.30047712274
950	0.18542316990324823	183809.29590279804
951	0.1854286103245738	183809.29102370617
952	0.18543405074604855	183809.28582578097
953	0.1854394911676821	183809.28029120536
954	0.1854449315894847	183809.2744040377
955	0.18545037201146702	183809.26814552312
956	0.18545581243364037	183809.2614969068
957	0.18546125285601656	183809.25443943398
958	0.18546669327860799	183809.24695341202
959	0.18547213370142762	183809.23901821065
960	0.18547757412448906	183809.23061226183
961	0.18548301454780663	183809.2217139976
962	0.1854884549713952	183809.21229997443
963	0.1854938953952704	183809.20234674888
964	0.1854993358194485	183809.19182993972
965	0.18550477624394662	183809.1807242281
966	0.18551021666878253	183809.16900335732
967	0.18551565709397486	183809.15664200854
968	0.185521097519543	183809.1436092365
969	0.18552653794550716	183809.1298797223
970	0.18553197837188853	183809.11542064528
971	0.18553741879870905	183809.1002048112
972	0.18554285922599165	183809.0841975239
973	0.18554829965376018	183809.06736783826
974	0.18555374008203954	183809.0496829337
975	0.18555918051085551	183809.0311071765
976	0.18556462094023496	183809.01160587068
977	0.1855700613702059	183808.99114150714
978	0.18557550180079735	183808.96967657682
979	0.18558094223203947	183808.9471735707
980	0.18558638266396366	183808.9235912289
981	0.18559182309660238	183808.8988892294
982	0.18559726352998943	183808.87302537463
983	0.18560270396415984	183808.84595652958
984	0.18560814439914997	183808.81763768368
985	0.1856135848349974	183808.78802382652
986	0.1856190252717413	183808.75706713463
987	0.18562446570942198	183808.7247197846
988	0.18562990614808142	183808.69093301546
989	0.18563534658776298	183808.65565431534
990	0.18564078702851156	183808.61883211037
991	0.18564622747037363	183808.580413889
992	0.1856516679133973	183808.54034338894
993	0.18565710835763224	183808.49856528587
