%Szakasz_index	VTX	mesh_density
0	0.0	404.040404040404
1	0.002475	404.040404040404
2	0.00495	404.0404040404041
3	0.007425	404.0404040404039
4	0.0099	404.0404040404041
5	0.012375	404.0404040404041
6	0.01485	404.0404040404041
7	0.017325	404.0404040404038
8	0.0198	404.0404040404038
9	0.022275000000000003	404.0404040404044
10	0.02475	404.0404040404038
11	0.027225000000000003	404.0404040404044
12	0.0297	404.0404040404038
13	0.032175	404.0404040404044
14	0.03465	404.04040404040325
15	0.037125000000000005	404.0404040404044
16	0.0396	404.0404040404044
17	0.042075	404.04040404040325
18	0.044550000000000006	404.0404040404044
19	0.047025000000000004	404.0404040404044
20	0.0495	404.04040404040325
21	0.05197500000000001	404.0404040404044
22	0.054450000000000005	404.0404040404044
23	0.056925	404.0404040404044
24	0.0594	404.04040404040325
25	0.061875000000000006	404.0404040404044
26	0.06435	404.04040404040325
27	0.06682500000000001	404.0404040404055
28	0.0693	404.04040404040325
29	0.071775	404.04040404040325
30	0.07425000000000001	404.0404040404055
31	0.076725	404.04040404040325
32	0.0792	404.04040404040325
33	0.08167500000000001	404.0404040404055
34	0.08415	404.04040404040325
35	0.08662500000000001	404.04040404040325
36	0.08910000000000001	404.0404040404055
37	0.091575	404.04040404040325
38	0.09405000000000001	404.04040404040325
39	0.09652500000000001	404.0404040404055
40	0.099	404.04040404040325
41	0.10147500000000001	404.04040404040325
42	0.10395000000000001	404.0404040404055
43	0.106425	404.04040404040325
44	0.10890000000000001	404.0404040404055
45	0.111375	404.04040404040325
46	0.11385	404.04040404040325
47	0.11632500000000001	404.0404040404055
48	0.1188	404.04040404040325
49	0.12127500000000001	404.04040404040325
50	0.12375000000000001	404.0404040404055
51	0.126225	404.04040404040325
52	0.1287	404.04040404040325
53	0.131175	404.04040404040325
54	0.13365000000000002	404.04040404040325
55	0.13612500000000002	404.04040404040774
56	0.1386	404.04040404040325
57	0.141075	404.04040404040325
58	0.14355	404.04040404040325
59	0.14602500000000002	404.04040404040325
60	0.14850000000000002	404.04040404040774
61	0.150975	404.04040404040325
62	0.15345	404.04040404040325
63	0.155925	404.04040404040325
64	0.1584	404.04040404040325
65	0.16087500000000002	404.04040404040325
66	0.16335000000000002	404.04040404040774
67	0.165825	404.04040404040325
68	0.1683	404.04040404040325
69	0.170775	404.04040404040325
70	0.17325000000000002	404.04040404040325
71	0.17572500000000002	404.04040404040325
72	0.17820000000000003	551.0964984774349
73	0.1800145642419482	24037.383666273337
74	0.18005616610735434	31046.473342905
75	0.18008837588490154	36512.403219904176
76	0.1801157638383588	41120.00031265205
77	0.18014008290432176	45156.539154264574
78	0.18016222809123664	48776.78526968534
79	0.18018272964734516	52075.82120900046
80	0.18020193241701415	55117.13569619233
81	0.18022007559494546	57945.65984730464
82	0.18023733314283835	60594.59310094538
83	0.18025383626545746	63089.298744717176
84	0.18026968681412256	65449.67639707047
85	0.180284965728474	67691.68255887897
86	0.18029973859217302	69828.34617454762
87	0.18031405942396675	71870.47041849488
88	0.18032797334430395	73827.13174604041
89	0.18034151850008	75706.04356450048
90	0.1803547274851612	77513.82690526496
91	0.1803676284092921	79256.21563114157
92	0.18038024571623815	80938.214560536
93	0.18039260081951575	82564.22308366129
94	0.1804047126030783	84138.13305225386
95	0.18041659782044317	85663.40720787727
96	0.18042827141635295	87143.1426751191
97	0.18043974678858882	88580.12285913224
98	0.18045103600300536	89976.86023689888
99	0.18046214997161203	91335.6319207361
100	0.1804730986011772	92658.50943515947
101	0.18048389091810627	93947.383815903
102	0.1804945351740651	95203.98690201255
103	0.1805050389358564	96429.90950015122
104	0.18051540916232642	97626.6169710883
105	0.18052565227051787	98795.46266374398
106	0.18053577419285152	99937.69955908385
107	0.18054578042677938	101054.49039817843
108	0.1805556760780865	102146.91653399434
109	0.18056546589880682	103215.9856971525
110	0.1805751543205493	104262.63883515839
111	0.18058474548389575	105287.75615342437
112	0.18059424326442156	106292.16247177165
113	0.18060365129580172	107276.63199081318
114	0.18061297299039114	108241.89253933406
115	0.18062221155760888	109188.62937908575
116	0.18063137002040566	110117.48861182775
117	0.1806404512300537	111029.08024890881
118	0.18064945787946265	111923.98097374527
119	0.18065839251519755	112802.73664063151
120	0.18066725754834995	113665.86453789781
121	0.18067605526439307	114513.85544009147
122	0.18068478783213482	115347.17547647763
123	0.18069345731186737	116166.26783008613
124	0.18070206566279987	116971.55429577545
125	0.18071061474984945	117763.43669429354
126	0.18071910634985766	118542.29818103794
127	0.18072754215728964	119308.50443483332
128	0.18073592378946865	120062.40475940132
129	0.18074425279139064	120804.33309333473
130	0.18075253064015975	121534.60894036986
131	0.18076075874908049	122253.53823436641
132	0.18076893847143816	122961.41412752912
133	0.18077707110399688	123658.51773647331
134	0.18078515789023938	124345.11881677594
135	0.18079320002337268	125021.47640205856
136	0.18080119864911906	125687.83939072049
137	0.18080915486831137	126344.44709637588
138	0.18081706973930872	126991.52975434579
139	0.18082494428024806	127629.30900265714
140	0.18083277947114437	128257.99832351293
141	0.18084057625585231	128877.80345906637
142	0.18084833554390006	129488.92280178325
143	0.1808560582122053	130091.54775453525
144	0.18086374510668277	130685.86307686682
145	0.18087139704375121	131272.0471984582
146	0.18087901481174784	131850.27252722648
147	0.1808865991722564	132420.7057239978
148	0.18089415086135618	132983.50797192138
149	0.1809016705907967	133538.83522696653
150	0.18090915904910398	134086.8384519967
151	0.18091661690262298	134627.66383768694
152	0.18092404479650076	135161.45301430154
153	0.1809314433556143	135688.34324834513
154	0.18093881318544686	136208.4676289595
