%Szakasz_index	x_coord	mesh_density
196	-0.14603400696159197	69756.4750960237
197	-0.14601968566127504	69895.78733963871
198	-0.14600539284173103	70034.75375309103
199	-0.14599112831976227	70173.37655859937
200	-0.14597689191412178	70311.65795484383
201	-0.14596268344548424	70449.60011690017
202	-0.14594850273641752	70587.20519691326
203	-0.14593434961135482	70724.47532455681
204	-0.14592022389656753	70861.41260699346
205	-0.1459061254201381	70998.01912929941
206	-0.1458920540119339	71134.29695522471
207	-0.14587800950358137	71270.24812674598
208	-0.14586399172844067	71405.87466520845
209	-0.1458500005215807	71541.17857083106
210	-0.14583603571975481	71676.16182338202
211	-0.14582209716137667	71810.82638290957
212	-0.1458081846864968	71945.17418894789
213	-0.1457942981367795	72079.20716205053
214	-0.14578043735548007	72212.92720307963
215	-0.14576660218742252	72346.33619367781
216	-0.14575279247897774	72479.43599736955
217	-0.14573900807804196	72612.22845838018
218	-0.1457252488340156	72744.7154034003
219	-0.14571151459778264	72876.89864032688
220	-0.14569780522169007	73008.77995996794
221	-0.14568412055952806	73140.36113529238
222	-0.14567046046651017	73271.64392218458
223	-0.14565682479925401	73402.63005904951
224	-0.14564321341576236	73533.32126793981
225	-0.14562962617540445	73663.71925407974
226	-0.14561606293889762	73793.82570661634
227	-0.1456025235682893	73923.64229804956
228	-0.14558900792693924	74053.17068519966
229	-0.1455755158795023	74182.41250945826
230	-0.14556204729191105	74311.36939630419
231	-0.14554860203135916	74440.04295591169
232	-0.14553517996628482	74568.43478364186
233	-0.14552178096635435	74696.54645979479
234	-0.14550840490244638	74824.37954984659
235	-0.145495051646636	74951.9356048708
236	-0.1454817210721794	75079.2161616788
237	-0.14546841305349856	75206.22274267145
238	-0.14545512746616637	75332.95685665507
239	-0.14544186418689187	75459.4199981152
240	-0.14542862309350574	75585.61364855834
241	-0.1454154040649463	75711.53927567403
242	-0.14540220698124517	75837.19833377762
243	-0.1453890317235137	75962.59226444192
244	-0.14537587817392944	76087.7224960363
245	-0.1453627462157227	76212.59044408178
246	-0.1453496357331634	76337.19751179373
247	-0.14533654661154832	76461.54508967999
248	-0.1453234787371883	76585.63455612608
249	-0.14531043199739568	76709.46727719267
250	-0.14529740628047208	76833.04460691822
251	-0.14528440147569627	76956.3678876444
252	-0.14527141747331218	77079.43844986978
253	-0.1452584541645173	77202.25761261335
254	-0.14524551144145093	77324.82668346907
255	-0.14523258919718302	77447.14695867729
256	-0.14521968732570284	77569.21972337975
257	-0.14520680572190792	77691.04625155972
258	-0.14519394428159327	77812.62780633176
259	-0.14518110290144076	77933.96564042024
260	-0.14516828147900845	78055.06099530807
261	-0.1451554799127202	78175.9151025888
262	-0.1451426981018557	78296.52918297553
263	-0.1451299359465401	78416.90444735294
264	-0.1451171933477344	78537.04209597882
265	-0.14510447020722544	78656.94331940112
266	-0.14509176642761643	78776.60929837111
267	-0.1450790819123175	78896.04120342186
268	-0.14506641656553626	79015.24019601096
269	-0.1450537702922688	79134.20742761026
270	-0.1450411429982904	79252.94404018561
271	-0.14502853459014683	79371.45116669686
272	-0.14501594497514542	79489.72993039065
273	-0.1450033740613464	79607.7814460266
274	-0.1449908217575545	79725.60681866633
275	-0.14497828797331042	79843.20714510606
276	-0.1449657726188826	79960.58351250565
277	-0.14495327560525897	80077.73700002945
278	-0.14494079684413902	80194.66867784903
279	-0.14492833624792573	80311.37960774924
280	-0.14491589372971792	80427.87084303681
281	-0.14490346920330238	80544.14342845688
282	-0.14489106258314632	80660.19840102064
283	-0.14487867378438996	80776.03678886432
284	-0.14486630272283896	80891.65961264058
285	-0.14485394931495738	81007.06788475695
286	-0.1448416134778602	81122.26260988883
287	-0.1448292951293066	81237.24478459393
288	-0.14481699418769256	81352.015398031
289	-0.14480471057204447	81466.57543177795
290	-0.14479244420201182	81580.92585928584
291	-0.14478019499786088	81695.06764718398
292	-0.14476796288046798	81809.0017542004
293	-0.1447557477713129	81922.72913212077
294	-0.1447435495924726	82036.25072527693
295	-0.14473136826661476	82149.56747097081
296	-0.1447192037169917	82262.6802993496
297	-0.144707055867434	82375.59013347418
298	-0.1446949246423445	82488.29788939623
299	-0.14468280996669247	82600.8044768115
300	-0.14467071176600732	82713.11079783208
301	-0.14465862996637313	82825.21774841087
302	-0.14464656449442273	82937.12621769606
303	-0.14463451527733195	83048.83708833886
304	-0.14462248224281415	83160.35123623675
305	-0.1446104653191146	83271.66953104893
306	-0.144598464435005	83382.79283595446
307	-0.14458647951977815	83493.72200799311
308	-0.14457451050324266	83604.45789744778
309	-0.14456255731571752	83715.00134916807
