%Szakasz_index	VTX	mesh_density
137	-0.14694553209417427	60828.61729627792
138	-0.14692909246354566	60993.37901700193
139	-0.14691269724137374	61157.603890470535
140	-0.1468963460448522	61321.2965333144
141	-0.1468800384966343	61484.46149644679
142	-0.1468637742247246	61647.10326635371
143	-0.14684755286237317	61809.226265932695
144	-0.14683137404797258	61970.83485666603
145	-0.1468152374249577	62131.933338846924
146	-0.14679914264170757	62292.52595322447
147	-0.14678308935145007	62452.6168822706
148	-0.14676707721216878	62612.21025093814
149	-0.14675110588651213	62771.31012808635
150	-0.14673517504170486	62929.92052738167
151	-0.1467192843494615	63088.04540819929
152	-0.146703433485902	63245.68867707407
153	-0.14668762213146952	63402.854188374105
154	-0.14667184997084992	63559.54574505994
155	-0.14665611669289336	63715.767100202334
156	-0.1466404219905377	63871.521957580204
157	-0.14662476556073376	64026.81397234475
158	-0.14660914710437215	64181.646752432556
159	-0.14659356632621204	64336.02385890951
160	-0.1465780229348114	64489.94880716602
161	-0.14656251664245892	64643.425067827455
162	-0.14654704716510758	64796.45606689875
163	-0.14653161422230948	64949.0451872205
164	-0.1465162175371524	65101.19576927579
165	-0.1465008568361978	65252.911111203015
166	-0.14648553184941987	65404.1944702405
167	-0.14647024231014644	65555.0490631407
168	-0.14645498795500078	65705.47806707374
169	-0.146439768523845	65855.48461994895
170	-0.14642458375972442	66005.07182146196
171	-0.14640943340881343	66154.2427335506
172	-0.14639431722036234	66303.0003809695
173	-0.1463792349466454	66451.3477521057
174	-0.14636418634291007	66599.28779954779
175	-0.14634917116732726	66746.8234405204
176	-0.14633418918094268	66893.95755754995
177	-0.14631924014762918	67040.69299936529
178	-0.1463043238340402	67187.03258091018
179	-0.14628944000956418	67332.97908419881
180	-0.14627458844627972	67478.53525890027
181	-0.14625976891891204	67623.70382276762
182	-0.14624498120479007	67768.48746190443
183	-0.14623022508380445	67912.8888318853
184	-0.14621550033836658	68056.91055769676
185	-0.1462008067533683	68200.55523452624
186	-0.14618614411614253	68343.82542812587
187	-0.14617151221642466	68486.72367499623
188	-0.14615691084631466	68629.25248355971
189	-0.1461423398002401	68771.41433398695
190	-0.14612779887491983	68913.2116787441
191	-0.1461132878693283	69054.64694321828
192	-0.1460988065846608	69195.72252588972
193	-0.14608435482429907	69336.44079896995
194	-0.14606993239377802	69476.80410871336
195	-0.1460555391007527	69616.81477592936
196	-0.14604117475496614	69756.4750960237
197	-0.14602683916821776	69895.78733963871
198	-0.14601253215433235	70034.75375309103
199	-0.1459982535291297	70173.37655859937
200	-0.14598400311039483	70311.65795484383
201	-0.14596978071784875	70449.60011690017
202	-0.14595558617311974	70587.20519691326
203	-0.14594141929971527	70724.47532455681
204	-0.1459272799229944	70861.41260699346
205	-0.14591316787014066	70998.01912929941
206	-0.1458990829701355	71134.29695522471
207	-0.14588502505373227	71270.24812674598
208	-0.14587099395343048	71405.87466520845
209	-0.14585698950345086	71541.17857083106
210	-0.14584301153971058	71676.16182338202
211	-0.14582905989979905	71810.82638290957
212	-0.14581513442295427	71945.17418894789
213	-0.14580123495003933	72079.20716205053
214	-0.14578736132351966	72212.92720307963
215	-0.14577351338744046	72346.33619367781
216	-0.14575969098740457	72479.43599736955
217	-0.1457458939705509	72612.22845838018
218	-0.145732122185533	72744.7154034003
219	-0.14571837548249822	72876.89864032688
220	-0.14570465371306707	73008.77995996794
221	-0.1456909567303131	73140.36113529238
222	-0.14567728438874303	73271.64392218458
223	-0.14566363654427728	73402.63005904951
224	-0.14565001305423073	73533.32126793981
225	-0.145636413777294	73663.71925407974
226	-0.1456228385735149	73793.82570661634
227	-0.14560928730428033	73923.64229804956
228	-0.14559575983229825	74053.17068519966
229	-0.14558225602158026	74182.41250945826
230	-0.14556877573742433	74311.36939630419
231	-0.14555531884639777	74440.04295591169
232	-0.14554188521632058	74568.43478364186
233	-0.14552847471624905	74696.54645979479
234	-0.14551508721645964	74824.37954984659
235	-0.1455017225884331	74951.9356048708
236	-0.1454883807048389	75079.2161616788
237	-0.1454750614395199	75206.22274267145
238	-0.14546176466747723	75332.95685665507
239	-0.1454484902648555	75459.4199981152
240	-0.1454352381089282	75585.61364855834
241	-0.1454220080780833	75711.53927567403
242	-0.14540880005180928	75837.19833377762
243	-0.14539561391068104	75962.59226444192
244	-0.14538244953634638	76087.7224960363
245	-0.14536930681151253	76212.59044408178
246	-0.14535618561993285	76337.19751179373
247	-0.14534308584639394	76461.54508967999
248	-0.1453300073767027	76585.63455612608
249	-0.14531695009767387	76709.46727719267
250	-0.14530391389711747	76833.04460691822
251	-0.1452908986638267	76956.3678876444
252	-0.14527790428756585	77079.43844986978
253	-0.14526493065905854	77202.25761261335
254	-0.14525197766997605	77324.82668346907
255	-0.14523904521292583	77447.14695867729
256	-0.14522613318144023	77569.21972337975
257	-0.14521324146996542	77691.04625155972
258	-0.14520036997385039	77812.62780633176
259	-0.14518751858933618	77933.96564042024
260	-0.14517468721354537	78055.06099530807
261	-0.1451618757444715	78175.9151025888
262	-0.1451490840809689	78296.52918297553
263	-0.14513631212274247	78416.90444735294
264	-0.14512355977033775	78537.04209597882
265	-0.14511082692513105	78656.94331940112
266	-0.1450981134893198	78776.60929837111
267	-0.14508541936591304	78896.04120342186
268	-0.14507274445872193	79015.24019601096
269	-0.1450600886723506	79134.20742761026
270	-0.145047451912187	79252.94404018561
271	-0.14503483408439383	79371.45116669686
272	-0.14502223509589984	79489.72993039065
273	-0.14500965485439096	79607.7814460266
274	-0.14499709326830182	79725.60681866633
275	-0.14498455024680718	79843.20714510606
276	-0.14497202569981368	79960.58351250565
277	-0.14495951953795153	80077.73700002945
278	-0.14494703167256642	80194.66867784903
279	-0.1449345620157116	80311.37960774924
280	-0.14492211048013987	80427.87084303681
281	-0.14490967697929596	80544.14342845688
282	-0.14489726142730877	80660.19840102064
283	-0.14488486373898388	80776.03678886432
284	-0.14487248382979603	80891.65961264058
285	-0.1448601216158819	81007.06788475695
286	-0.1448477770140328	81122.26260988883
287	-0.1448354499416876	81237.24478459393
288	-0.14482314031692556	81352.015398031
289	-0.1448108480584596	81466.57543177795
290	-0.14479857308562932	81580.92585928584
291	-0.1447863153183943	81695.06764718398
292	-0.14477407467732747	81809.0017542004
293	-0.14476185108360848	81922.72913212077
294	-0.1447496444590173	82036.25072527693
295	-0.14473745472592786	82149.56747097081
296	-0.14472528180730168	82262.6802993496
297	-0.14471312562668173	82375.59013347418
298	-0.14470098610818627	82488.29788939623
299	-0.14468886317650279	82600.8044768115
300	-0.14467675675688213	82713.11079783208
301	-0.1446646667751325	82825.21774841087
302	-0.14465259315761378	82937.12621769606
303	-0.14464053583123168	83048.83708833886
304	-0.14462849472343223	83160.35123623675
305	-0.14461646976219608	83271.66953104893
306	-0.1446044608760331	83382.79283595446
307	-0.14459246799397688	83493.72200799311
308	-0.14458049104557943	83604.45789744778
309	-0.14456852996090586	83715.00134916807
310	-0.14455658467052918	83825.3532011907
311	-0.14454465510552514	83935.51428588545
312	-0.14453274119746717	84045.48542955687
313	-0.14452084287842137	84155.26745243819
314	-0.14450896008094152	84264.86116888779
315	-0.14449709273806421	84374.2673875943
316	-0.14448524078330405	84483.48691139382
317	-0.14447340415064885	84592.52053728834
318	-0.14446158277455498	84701.36905686774
319	-0.14444977658994268	84810.03325614461
320	-0.14443798553219153	84918.51391499108
321	-0.14442620953713584	85026.8118087793
322	-0.14441444854106028	85134.927706632
323	-0.14440270248069542	85242.86237267626
324	-0.14439097129321338	85350.61656550132
325	-0.1443792549162235	85458.19103862642
326	-0.14436755328776815	85565.58654016738
327	-0.1443558663463185	85672.80381331738
328	-0.1443441940307704	85779.84359581846
329	-0.14433253628044024	85886.70662086237
330	-0.14432089303506102	85993.3936157517
331	-0.1443092642347782	86099.90530363133
332	-0.14429764982014587	86206.24240236238
333	-0.14428604973212286	86312.4056248306
334	-0.14427446391206883	86418.395679471
335	-0.14426289230174053	86524.2132695571
336	-0.144251334843288	86629.85909352536
337	-0.1442397914792509	86735.33384572566
338	-0.14422826215255483	86840.63821509354
339	-0.1442167468065077	86945.77288653438
340	-0.1442052453847962	87050.7385400178
341	-0.14419375783148222	87155.53585113838
342	-0.14418228409099937	87260.1654912654
343	-0.14417082410814958	87364.62812663899
344	-0.1441593778280996	87468.92441979254
345	-0.14414794519637772	87573.05502844481
346	-0.1441365261588704	87677.02060629966
347	-0.144125120661819	87780.8218025773
348	-0.14411372865181654	87884.45926218528
349	-0.1441023500758044	87987.93362632496
350	-0.14409098488106933	88091.24553138643
351	-0.14407963301524013	88194.39560977419
352	-0.1440682944262846	88297.38449031455
353	-0.1440569690625066	88400.21279737055
354	-0.14404565687254284	88502.88115103432
355	-0.14403435780536	88605.39016776098
356	-0.14402307181025173	88707.74046035905
357	-0.14401179883683576	88809.93263688896
358	-0.14400053883505096	88911.9673024015
359	-0.1439892917551545	89013.84505762435
360	-0.1439780575477191	89115.56649961679
361	-0.14396683616363012	89217.13222133173
362	-0.1439556275540828	89318.54281272425
363	-0.1439444316705797	89419.7988592148
364	-0.14393324846492772	89520.90094324805
365	-0.14392207788923575	89621.8496432003
366	-0.1439109198959118	89722.64553383864
367	-0.14389977443766042	89823.28918634087
368	-0.1438886414674802	89923.78116899154
369	-0.14387752093866124	90024.12204541535
370	-0.14386641280478246	90124.31237684716
371	-0.1438553170197093	90224.35272036775
372	-0.14384423353759113	90324.24362983578
373	-0.14383316231285884	90423.98565547256
374	-0.1438221033002224	90523.57934503586
375	-0.14381105645466863	90623.02524159223
376	-0.14380002173145856	90722.32388605937
377	-0.14378899908612536	90821.47581520534
378	-0.14377798847447185	90920.4815635241
379	-0.14376698985256836	91019.34166099879
380	-0.14375600317675033	91118.05663567709
381	-0.1437450284036162	91216.62701166338
382	-0.1437340654900251	91315.05331009558
383	-0.14372311439309474	91413.33604897681
384	-0.14371217507019918	91511.47574323947
385	-0.14370124747896673	91609.47290504482
386	-0.14369033157727787	91707.32804292132
387	-0.14367942732326305	91805.04166299902
388	-0.14366853467530075	91902.61426768299
389	-0.14365765359201527	92000.04635736569
390	-0.14364678403227488	92097.33842839609
391	-0.14363592595518965	92194.49097527144
392	-0.1436250793201096	92291.5044888395
393	-0.14361424408662263	92388.37945732255
394	-0.14360342021455264	92485.11636616924
395	-0.14359260766395757	92581.715698144
396	-0.14358180639512755	92678.17793270411
397	-0.14357101636858294	92774.50354680394
398	-0.1435602375450725	92870.69301499274
399	-0.14354946988557157	92966.7468085557
400	-0.14353871335128024	93062.66539632861
401	-0.1435279679036215	93158.44924431965
402	-0.14351723350423945	93254.09881605241
403	-0.14350651011499763	93349.6145721889
404	-0.14349579769797713	93444.99697087651
405	-0.14348509621547495	93540.24646785793
406	-0.14347440563000227	93635.36351585378
407	-0.14346372590428272	93730.34856540224
408	-0.14345305700125072	93825.20206448859
409	-0.14344239888404983	93919.92445792696
410	-0.14343175151603105	94014.51618918905
411	-0.14342111486075126	94108.97769807758
412	-0.14341048888197155	94203.30942280655
413	-0.14339987354365566	94297.51179865265
414	-0.14338926880996836	94391.58525857018
415	-0.1433786746452739	94485.53023331908
416	-0.1433680910141345	94579.34715085082
417	-0.14335751788130874	94673.0364374299
418	-0.14334695521175012	94766.5985160277
419	-0.14333640297060546	94860.03380819548
420	-0.14332586112321352	94953.342732457
421	-0.14331532963510343	95046.52570569233
422	-0.1433048084719933	95139.58314177583
423	-0.14329429759978873	95232.51545296787
424	-0.14328379698458138	95325.32304880225
425	-0.14327330659264756	95418.00633698319
426	-0.14326282639044685	95510.56572277486
427	-0.1432523563446207	95603.00160914588
428	-0.14324189642199098	95695.31439717094
429	-0.14323144658955875	95787.50448567401
430	-0.1432210068145028	95879.57227112385
431	-0.1432105770641784	95971.51814804043
432	-0.14320015730611582	96063.34250889509
433	-0.14318974750801924	96155.04574375383
434	-0.14317934763776527	96246.62824120303
435	-0.14316895766340176	96338.09038696863
436	-0.14315857755314648	96429.43256535924
437	-0.14314820727538588	96520.65515839972
438	-0.14313784679867383	96611.75854625108
439	-0.14312749609173042	96702.74310659799
440	-0.14311715512344064	96793.60921559054
441	-0.14310682386285326	96884.35724749489
442	-0.14309650227917958	96974.98757408002
443	-0.14308619034179226	97065.50056582896
444	-0.14307588802022414	97155.89659080659
445	-0.14306559528416704	97246.17601509058
446	-0.1430553121034706	97336.33920320806
447	-0.1430450384481412	97426.3865180511
448	-0.14303477428834077	97516.31831947247
449	-0.1430245195943856	97606.13496683296
450	-0.1430142743367454	97695.83681680953
451	-0.143004038486042	97785.4242243647
452	-0.1429938120130484	97874.89754292986
453	-0.14298359488868756	97964.25712405873
454	-0.14297338708403148	98053.50331681097
455	-0.14296318857029996	98142.6364698031
456	-0.1429529993188597	98231.65692846206
457	-0.14294281930122316	98320.5650373472
458	-0.1429326484890475	98409.36113900425
459	-0.14292248685413364	98498.04557442301
460	-0.14291233436842524	98586.61868269181
461	-0.1429021910040076	98675.08080091889
462	-0.14289205673310676	98763.43226496606
463	-0.1428819315280884	98851.67340883502
464	-0.14287181536145696	98939.80456513433
465	-0.14286170820585467	99027.82606419138
466	-0.1428516100340605	99115.73823506426
467	-0.14284152081898924	99203.54140519924
468	-0.1428314405336906	99291.23590035911
469	-0.14282136915134822	99378.82204482537
470	-0.14281130664527877	99466.30016077963
471	-0.142801252988931	99553.67056960454
472	-0.1427912081558849	99640.93359044366
473	-0.14278117211985064	99728.08954095498
474	-0.14277114485466785	99815.13873752016
475	-0.14276112633430463	99902.08149462542
476	-0.14275111653285666	99988.91812562419
477	-0.1427411154245464	100075.64894211828
478	-0.14273112298372218	100162.27425389035
479	-0.1427211391848573	100248.79436995198
480	-0.14271116400254927	100335.20959708828
481	-0.1427011974115189	100421.52024090744
482	-0.1426912393866095	100507.72660549956
483	-0.14268128990278597	100593.82899365437
484	-0.14267134893513414	100679.82770651915
485	-0.1426614164588598	100765.7230435354
486	-0.14265149244928793	100851.51530322246
487	-0.14264157688186196	100937.20478255571
488	-0.14263166973214295	101022.79177662235
489	-0.14262177097580872	101108.27657997652
490	-0.14261188058865323	101193.6594845982
491	-0.14260199854658565	101278.94078238719
492	-0.1425921248256297	101364.12076254949
493	-0.1425822594019228	101449.19971409976
494	-0.1425724022517154	101534.17792381135
495	-0.14256255335137025	101619.05567787224
496	-0.14255271267736153	101703.83326011279
497	-0.1425428802062742	101788.51095395497
498	-0.1425330559148033	101873.08904121288
499	-0.1425232397797532	101957.56780203585
500	-0.14251343177803683	102041.94751571861
501	-0.14250363188667503	102126.22846007254
502	-0.14249384008279586	102210.41091166096
503	-0.14248405634363387	102294.49514574693
504	-0.1424742806465294	102378.48143594993
505	-0.14246451296892787	102462.37005535676
506	-0.1424547532883792	102546.16127530872
507	-0.14244500158253703	102629.85536593151
508	-0.1424352578291581	102713.45259608506
509	-0.1424255220061016	102796.95323360668
510	-0.1424157940913284	102880.3575449694
511	-0.1424060740629006	102963.66579493757
512	-0.14239636189898064	103046.87824828237
513	-0.1423866575778309	103129.99516738189
514	-0.14237696107781286	103213.01681393752
515	-0.1423672723773866	103295.94344863461
516	-0.14235759145511015	103378.77533020683
517	-0.14234791828963875	103461.51271716582
518	-0.1423382528597244	103544.15586627477
519	-0.14232859514421517	103626.70503339179
520	-0.1423189451220546	103709.16047312801
521	-0.14230930277228107	103791.52243880159
522	-0.14229966807402727	103873.79118269126
523	-0.14229004100651954	103955.96695599261
524	-0.1422804215490773	104038.05000877452
525	-0.1422708096811125	104120.04059023621
526	-0.14226120538212902	104201.93894806325
527	-0.14225160863172212	104283.74532898502
528	-0.1422420194095778	104365.45997843091
529	-0.14223243769547234	104447.08314139489
530	-0.14222286346927163	104528.61506088235
531	-0.1422132967109307	104610.05597968385
532	-0.14220373740049314	104691.40613851539
533	-0.14219418551809052	104772.6657784071
534	-0.14218464104394193	104853.83513792702
535	-0.14217510395835337	104934.91445557491
536	-0.14216557424171722	105015.90396821951
537	-0.14215605187451175	105096.80391228071
538	-0.14214653683730058	105177.61452246654
539	-0.14213702911073214	105258.33603295914
540	-0.14212752867553918	105338.96867676395
541	-0.14211803551253824	105419.51268567018
542	-0.14210854960262911	105499.9682908291
543	-0.1420990709267944	105580.33572240967
544	-0.14208959946609903	105660.61520894163
545	-0.1420801352016896	105740.80697882513
546	-0.1420706781147941	105820.91125874638
547	-0.14206122818672123	105900.92827488072
548	-0.14205178539886007	105980.85825254818
549	-0.1420423497326795	106060.70141555391
550	-0.1420329211697278	106140.4579870865
551	-0.14202349969163203	106220.12818937203
552	-0.14201408528009773	106299.71224363885
553	-0.14200467791690838	106379.21037039654
554	-0.1419952775839249	106458.62278877388
555	-0.14198588426308528	106537.94971711132
556	-0.141976497936404	106617.19137355908
557	-0.1419671185859717	106696.34797383705
558	-0.14195774619395463	106775.41973435452
559	-0.1419483807425943	106854.40686933672
560	-0.14193902221420696	106933.30959332133
561	-0.1419296705911832	107012.12811859218
562	-0.14192032585598746	107090.86265768317
563	-0.1419109879911577	107169.51342144191
564	-0.14190165697930485	107248.08062058812
565	-0.14189233280311248	107326.56446408892
566	-0.1418830154453363	107404.96516104206
567	-0.14187370488880383	107483.28291904875
568	-0.1418644011164139	107561.51794449937
569	-0.14185510411113628	107639.67044382636
570	-0.14184581385601122	107717.74062187015
571	-0.1418365303341491	107795.7286831336
572	-0.14182725352873005	107873.63483078664
573	-0.1418179834230034	107951.45926760335
574	-0.14180872000028744	108029.20219561168
575	-0.141799463243969	108106.8638154159
576	-0.14179021313750298	108184.44432746264
577	-0.14178096966441203	108261.94393071554
578	-0.14177173280828612	108339.36282359909
579	-0.14176250255278214	108416.70120429841
580	-0.14175327888162362	108493.95926910157
581	-0.14174406177860022	108571.13721465395
582	-0.14173485122756746	108648.23523564514
583	-0.14172564721244627	108725.25352706992
584	-0.14171644971722266	108802.19228256571
585	-0.1417072587259474	108879.05169471038
586	-0.14169807422273548	108955.8319563113
587	-0.141688896191766	109032.53325807594
588	-0.1416797246172816	109109.15579088884
589	-0.14167055948358817	109185.69974446838
590	-0.14166140077505454	109262.16530800046
591	-0.14165224847611207	109338.55267011408
592	-0.14164310257125437	109414.86201786007
593	-0.14163396304503684	109491.09353834348
594	-0.14162482988207642	109567.24741770403
595	-0.14161570306705124	109643.32384108938
596	-0.1416065825847002	109719.32299363073
597	-0.14159746841982282	109795.24505841531
598	-0.1415883605572786	109871.09021913311
599	-0.141579258981987	109946.85865804841
600	-0.1415701636789269	110022.5505569786
601	-0.1415610746331364	110098.16609693541
602	-0.14155199182971243	110173.70545810033
603	-0.14154291525381038	110249.16882013738
604	-0.1415338448906439	110324.55636217073
605	-0.14152478072548455	110399.86826174759
606	-0.14151572274366134	110475.10469684134
607	-0.1415066709305606	110550.26584414007
608	-0.1414976252716256	110625.35188003862
609	-0.14148858575235623	110700.36297925786
